datim_uid,period,partner,snu,psnu,sitename,latitude,longitude,indicator,value,pais
tNf8m963xKK,2021-03-20,ECHO,Sofala,Beira,Macurungo PSA,-19.83551,34.88448,TPT Ineligible,194,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,TPT Completed,1026,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,TPT Not Comp,1309,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,Recent Active TB TX,12,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,Recent Pos TB Screen,3,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,Actively on TPT,449,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,TX_CURR,2334,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,TPT Candidates,844,Mocambique
FdqK3U8rDRX,2021-03-20,ECHO,Sofala,Beira,Manga Loforte,-19.77483,34.88433,TPT Ineligible,15,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,TPT Completed,1109,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,TPT Not Comp,2808,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,Recent Active TB TX,171,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,Recent Pos TB Screen,4,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,Actively on TPT,443,Mocambique
